300 41680
101 285 8
249 155 2
47 181 84
274 271 64
205 175 53
261 14 47
194 184 32
220 156 39
239 85 84
124 252 96
81 269 30
139 151 79
49 53 84
29 187 5
98 255 76
269 41 66
163 252 2
39 93 48
226 201 5
142 271 30
55 290 17
187 102 38
297 83 44
176 296 23
243 222 41
157 141 1
258 18 96
297 244 92
180 108 6
276 279 83
70 89 52
259 125 88
259 120 1
61 249 26
30 109 74
102 11 87
123 187 29
104 159 94
81 186 29
90 220 34
170 194 28
224 289 35
218 163 35
201 56 19
9 253 5
60 91 43
206 174 71
137 164 64
265 149 54
141 181 62
213 171 56
272 158 79
202 89 15
181 31 16
197 125 98
131 226 46
89 239 36
41 164 66
227 265 80
81 202 87
256 159 87
279 48 7
25 14 3
5 196 34
128 182 6
88 165 57
255 106 82
248 274 2
201 18 57
108 106 40
143 265 63
56 67 61
10 184 90
210 274 29
8 168 19
11 46 36
56 253 86
138 105 64
114 134 76
230 288 42
158 188 42
192 187 86
241 231 28
122 65 4
265 217 24
39 246 3
70 165 87
233 200 85
197 166 83
199 79 40
243 213 12
280 159 56
14 216 45
71 42 95
293 230 1
142 90 81
254 13 24
9 127 5
150 89 34
34 136 67
253 69 94
204 263 94
101 93 1
296 148 39
193 188 40
104 11 40
15 187 41
241 248 58
190 201 20
277 16 72
222 130 15
56 240 57
180 230 82
17 232 96
4 105 53
195 7 16
155 39 66
18 144 23
234 165 56
205 238 25
107 266 88
41 4 72
3 144 35
143 187 52
206 168 88
30 178 91
209 226 14
45 52 41
228 186 30
69 51 96
190 297 9
64 110 94
160 100 78
152 199 20
122 2 23
280 89 48
294 248 3
182 271 1
136 196 42
110 234 98
115 35 56
242 282 8
279 16 47
172 204 89
29 300 22
68 231 85
222 39 56
45 98 82
117 61 9
39 296 10
86 149 58
72 270 49
170 252 56
74 48 79
190 273 89
145 153 6
5 46 18
101 74 97
226 208 49
37 174 79
284 126 60
262 187 51
114 256 78
172 135 29
180 79 68
81 254 49
56 2 58
257 114 53
28 149 79
61 245 28
68 1 53
28 113 45
91 295 52
200 263 22
63 4 26
267 150 67
203 268 32
130 56 13
289 272 84
7 203 45
115 220 62
149 111 87
231 193 64
137 22 88
285 66 10
171 231 69
192 198 27
289 56 59
87 260 90
145 203 16
239 261 14
276 167 20
3 170 14
246 145 79
100 244 21
187 51 13
152 244 57
48 175 58
267 197 77
34 185 44
61 45 94
136 167 82
63 56 21
174 25 26
244 52 26
54 175 29
192 270 60
184 66 31
250 280 64
144 186 33
102 77 69
72 295 95
226 143 13
234 35 75
185 127 29
109 267 43
41 58 13
194 271 98
257 156 34
65 35 73
274 196 75
198 275 80
204 232 47
206 93 91
158 265 39
166 2 41
81 24 86
51 175 31
84 290 83
106 294 3
122 222 70
198 159 41
52 98 25
253 118 95
53 258 36
224 169 14
213 82 22
105 51 63
29 204 85
261 12 76
212 59 59
1 240 40
241 280 50
93 36 50
189 191 39
206 16 26
171 13 29
185 190 75
29 271 92
163 53 47
229 59 41
262 246 4
59 189 62
274 88 13
237 49 63
96 242 96
29 212 75
204 46 30
105 176 32
211 134 2
280 117 99
191 175 16
242 272 63
98 76 88
21 73 98
235 40 20
231 29 13
44 264 25
119 60 11
106 153 69
3 173 87
12 115 72
229 182 40
235 162 35
125 248 72
104 57 46
136 260 44
142 50 50
208 191 77
51 112 2
32 84 77
153 138 75
86 40 11
134 160 28
65 60 26
158 88 49
6 147 32
126 55 13
140 264 83
81 83 1
123 165 46
132 39 32
257 89 82
185 236 70
74 165 80
14 42 65
253 116 30
251 13 32
59 131 94
41 79 85
22 158 2
92 263 63
36 75 76
136 265 11
163 38 48
10 69 48
5 149 82
83 243 95
204 225 40
287 252 45
50 156 25
86 114 8
25 243 27
168 157 71
30 12 36
248 277 14
279 60 19
90 26 70
81 33 39
215 170 19
140 144 97
71 238 12
243 226 81
25 40 58
248 69 83
112 215 62
6 165 92
279 138 22
271 129 37
292 152 74
180 216 4
295 112 6
67 223 14
288 286 62
198 201 16
244 2 50
125 240 93
231 8 85
295 163 47
245 238 4
227 246 65
262 45 80
55 226 77
69 143 73
26 123 63
104 49 88
1 192 78
231 1 13
6 113 45
155 207 63
175 276 55
19 52 62
275 169 15
152 30 20
183 47 34
231 117 95
224 254 75
12 147 47
176 66 28
277 10 19
41 153 47
14 271 80
131 158 67
31 171 98
142 212 59
184 267 69
161 244 94
216 100 5
161 99 12
39 4 23
148 54 97
113 249 63
140 269 45
18 129 82
143 232 97
268 36 65
80 134 85
274 263 26
141 252 27
16 236 2
212 53 17
132 146 100
181 243 30
97 85 14
143 269 36
101 241 23
12 205 17
85 19 9
290 224 34
271 67 82
121 28 77
226 10 59
57 30 93
258 165 49
195 171 59
41 97 74
294 166 86
172 14 53
252 19 79
129 127 16
138 149 51
286 33 28
95 80 50
142 160 65
270 86 19
97 152 73
205 248 9
216 113 15
79 84 72
113 273 43
189 110 5
142 200 14
222 129 3
127 13 5
202 229 22
246 231 56
30 286 48
51 5 66
148 261 51
285 100 87
38 281 64
64 106 78
83 180 17
187 20 88
78 196 75
23 28 86
149 159 5
153 52 50
59 172 48
165 279 59
296 180 82
258 260 76
10 79 21
267 276 36
198 96 21
91 27 17
189 172 75
37 9 2
213 15 60
9 199 1
251 266 21
43 113 46
166 24 70
130 223 56
252 245 64
194 104 64
238 17 74
73 36 16
107 232 74
31 170 44
130 78 14
104 173 3
127 222 88
243 131 46
160 201 73
143 238 37
269 114 49
271 13 79
296 12 49
291 132 85
65 268 100
201 255 20
199 171 74
1 75 63
9 176 11
114 11 64
230 225 25
96 89 41
83 67 28
75 201 90
128 205 7
105 245 34
46 35 5
217 274 88
172 100 58
74 93 12
187 168 64
237 258 25
146 287 43
232 137 77
30 243 14
241 143 16
177 191 73
108 174 6
107 145 94
254 80 58
286 172 56
41 141 4
239 214 40
245 120 40
284 287 63
222 259 72
88 193 53
259 223 19
228 219 77
165 140 91
134 228 90
208 240 35
284 119 22
10 284 5
289 204 79
248 278 53
78 267 94
80 49 45
16 71 58
17 97 53
298 26 75
243 246 89
17 74 99
56 233 33
183 269 85
113 107 17
108 143 44
32 216 82
204 127 60
196 287 40
122 169 83
98 280 99
56 244 56
267 10 33
161 77 50
82 254 48
166 246 56
257 165 97
192 300 31
75 240 1
207 225 33
166 266 92
196 224 51
226 28 22
213 208 90
173 27 74
194 281 35
133 189 35
78 193 42
3 98 9
99 156 73
168 52 85
115 103 92
191 163 91
144 77 81
39 83 8
104 30 38
207 92 82
93 119 100
17 210 24
203 188 63
49 183 26
256 252 42
100 29 85
4 151 43
83 45 69
156 248 22
242 213 25
283 294 84
256 217 46
153 175 59
5 159 36
25 44 48
92 292 37
121 165 26
27 4 54
17 98 63
273 256 63
135 231 21
232 276 91
259 2 15
252 228 21
248 267 63
213 163 39
293 116 77
221 77 62
169 98 33
76 294 92
277 294 2
228 52 41
77 283 80
15 94 41
1 264 89
237 148 33
288 35 50
183 248 75
201 176 35
234 179 90
140 154 93
284 253 64
264 40 40
38 236 41
260 98 11
125 157 81
192 8 4
15 32 85
33 67 99
89 190 82
295 285 59
52 88 79
31 223 82
181 6 13
37 63 53
288 33 76
286 273 35
104 235 72
168 53 63
191 11 38
219 55 46
19 277 20
214 118 93
86 196 75
286 177 40
148 279 41
74 152 93
139 134 60
74 135 81
34 41 85
13 98 33
47 216 93
294 33 17
28 81 14
116 298 43
200 134 47
75 264 21
102 23 4
166 260 78
207 14 23
234 250 66
162 181 46
267 218 47
229 10 47
162 29 22
68 43 16
247 143 99
206 126 85
116 271 16
45 289 92
203 288 41
239 71 85
24 232 93
45 247 22
237 222 12
280 31 12
37 291 46
146 15 4
151 210 39
6 116 83
181 202 5
110 194 90
107 80 90
42 202 7
231 27 10
296 93 24
36 248 100
90 235 89
162 91 32
74 243 80
4 202 15
49 234 12
1 116 75
251 89 75
274 145 21
21 75 30
63 109 32
163 193 51
100 294 60
49 245 75
159 243 57
253 49 46
222 263 25
192 233 88
150 146 80
154 143 96
39 80 14
140 179 66
14 22 79
103 189 2
258 32 24
173 274 42
25 41 71
277 31 61
252 87 100
107 20 69
243 285 2
26 16 33
33 277 90
38 37 22
116 91 50
104 21 96
159 192 22
205 194 81
276 70 36
109 273 23
34 240 53
150 86 77
178 64 90
43 196 52
1 217 50
97 159 18
53 186 61
154 108 19
200 259 43
217 89 3
128 40 42
248 108 14
281 276 9
143 214 25
283 51 83
31 175 80
20 79 43
258 88 48
140 228 26
281 211 15
190 265 64
143 15 57
19 238 97
189 215 24
259 205 29
255 221 82
14 178 94
256 182 82
56 209 36
272 279 26
23 188 63
193 138 76
99 283 62
260 145 4
185 48 61
255 239 86
23 97 83
106 165 95
259 202 51
267 134 22
75 11 87
99 225 6
47 231 79
255 288 34
200 250 87
287 177 8
69 278 27
231 146 30
32 292 4
280 227 26
176 137 60
120 282 16
146 258 23
12 259 78
269 82 3
188 219 11
149 23 8
92 73 34
107 251 34
92 296 67
288 102 39
296 232 95
148 152 8
253 229 95
116 220 83
200 67 44
94 272 30
106 264 94
53 6 20
59 220 97
254 283 50
237 20 93
150 73 72
200 105 27
112 289 24
242 56 66
95 68 32
13 293 61
180 35 14
232 4 26
282 188 60
185 11 69
153 129 73
268 140 98
245 279 90
82 299 99
271 117 52
214 159 94
187 1 70
241 181 50
93 64 74
47 142 7
174 219 89
26 64 67
80 94 64
36 96 84
138 39 81
213 63 24
215 208 50
221 145 35
225 281 67
271 205 69
122 227 73
47 43 29
44 191 74
119 20 40
106 87 49
200 203 54
48 9 56
147 137 44
78 170 95
202 296 25
227 189 25
41 10 10
11 12 97
139 219 23
227 152 32
229 114 59
19 264 23
93 286 96
79 188 71
149 46 14
61 284 15
283 250 89
59 249 84
155 147 8
228 112 61
120 119 57
149 128 94
153 242 22
292 13 2
206 71 57
189 236 93
86 90 15
276 98 35
66 183 80
110 82 97
136 248 97
50 117 8
236 144 76
230 295 86
291 155 65
124 58 83
37 30 27
181 53 59
188 220 62
204 12 27
116 171 60
115 212 52
108 151 88
91 85 60
187 160 20
244 162 67
288 54 33
56 177 92
11 54 43
66 54 62
46 131 58
61 223 50
114 82 14
271 79 10
133 174 32
292 106 77
74 39 63
237 63 26
77 101 41
54 44 72
151 85 24
155 240 26
47 147 21
85 180 39
180 255 31
29 1 32
133 292 98
255 75 37
225 253 73
99 20 45
156 210 96
83 61 59
16 92 46
44 201 51
236 247 66
287 204 56
108 45 40
225 96 9
170 56 85
238 264 7
59 20 13
9 105 15
115 202 54
13 32 74
58 253 39
285 115 91
268 144 100
231 129 94
292 244 84
141 159 2
184 111 50
39 259 76
81 247 63
221 290 97
207 87 52
261 36 55
75 195 57
253 43 77
118 266 90
9 198 56
201 174 19
242 296 76
243 241 45
47 248 99
125 114 96
4 145 42
142 3 51
166 148 25
172 52 10
284 245 68
140 254 14
280 295 55
182 184 81
186 126 19
179 91 81
266 212 93
179 235 82
224 149 69
70 57 77
67 240 96
261 47 45
155 163 13
200 274 32
290 79 93
34 29 52
14 189 57
4 161 72
94 25 7
278 31 22
211 56 21
31 218 40
171 152 77
241 161 29
209 45 45
10 85 30
294 136 50
73 71 60
126 141 97
146 126 19
283 205 64
67 43 9
218 271 26
194 95 66
131 211 35
135 168 94
105 199 5
148 32 8
158 36 11
117 151 3
74 73 51
224 288 19
236 166 46
60 86 40
235 42 84
229 269 19
187 86 26
214 77 20
257 160 79
295 144 30
206 271 30
51 66 44
10 55 95
152 87 64
170 14 3
264 198 85
148 293 48
272 144 20
271 85 20
34 148 33
5 11 84
273 212 23
255 182 8
93 41 74
141 44 51
160 14 97
20 6 58
179 168 34
230 84 72
175 300 67
128 260 9
179 159 37
12 177 45
206 131 47
147 115 20
121 218 25
213 233 51
32 154 88
103 52 63
288 204 3
91 152 18
14 249 76
106 117 9
191 170 73
126 266 95
209 35 22
81 57 21
208 158 56
78 137 50
291 13 100
295 3 94
231 172 56
146 12 78
292 15 69
258 118 54
121 248 18
44 240 31
152 124 1
63 174 31
84 227 69
28 89 4
154 240 46
28 27 64
276 292 96
298 130 89
286 136 69
267 64 93
39 289 78
35 87 19
282 201 83
147 177 44
33 262 73
207 120 71
282 243 72
222 68 6
185 217 37
41 52 62
132 160 81
247 245 49
227 153 36
233 168 15
125 191 6
131 130 55
125 47 23
278 234 80
36 150 15
271 43 71
201 217 57
293 19 99
99 103 74
226 184 38
189 212 60
237 62 66
166 297 81
194 51 61
43 159 5
294 199 80
267 253 16
75 15 29
221 18 75
53 29 90
129 13 89
1 39 15
132 119 93
47 228 50
50 294 64
297 5 42
90 244 32
297 107 8
60 194 76
173 127 40
30 292 42
4 273 39
198 114 24
200 153 74
261 299 73
54 179 93
79 279 29
190 62 68
89 90 91
257 144 6
27 48 32
189 27 26
81 85 13
60 118 57
40 125 74
178 76 71
235 250 64
72 73 41
53 89 44
293 143 2
153 203 95
148 18 49
44 68 54
210 245 5
248 50 2
276 272 88
189 218 37
196 240 36
130 199 82
286 220 39
247 113 76
120 170 88
244 214 74
236 273 54
100 200 77
15 264 68
127 156 77
281 181 75
186 56 79
73 277 12
183 21 61
111 8 99
46 230 34
272 277 84
263 94 13
120 281 50
18 140 91
278 63 7
131 240 24
53 32 63
185 93 12
75 228 44
166 184 14
298 296 19
26 134 100
300 22 89
102 90 84
285 284 87
27 127 26
178 131 6
96 257 44
163 202 44
121 81 12
237 83 95
139 62 64
296 294 47
187 158 25
266 84 81
1 120 17
93 187 76
274 138 78
215 153 15
49 287 48
140 263 52
180 90 73
114 53 10
15 74 74
23 205 40
142 48 87
215 192 1
231 65 41
253 293 87
136 40 85
169 210 4
172 146 62
149 47 61
247 216 71
286 23 81
9 117 97
11 94 38
202 144 91
285 212 77
292 74 7
202 191 66
294 150 52
39 70 83
27 45 83
294 231 2
276 8 7
135 82 5
34 210 51
49 73 69
282 220 4
232 121 87
112 236 12
174 33 49
206 275 35
252 123 30
97 40 56
199 12 14
234 88 70
160 270 41
273 170 86
294 195 8
212 130 63
114 164 4
90 94 71
196 281 54
184 53 1
54 191 12
177 278 24
271 203 59
100 136 5
189 7 86
3 30 79
68 16 16
18 216 85
224 192 64
62 52 61
222 18 74
206 13 28
124 235 17
289 120 12
271 4 23
116 169 38
283 263 45
4 209 71
201 213 27
165 219 53
299 271 27
145 35 85
283 177 91
196 68 88
227 95 43
172 71 87
238 217 9
3 56 82
89 193 48
140 153 64
83 241 53
166 43 62
36 282 27
266 252 34
242 263 25
24 42 6
241 97 7
268 12 20
129 47 63
92 259 98
47 93 35
9 229 34
162 245 77
25 176 83
135 278 62
191 229 82
121 256 38
19 49 38
273 58 41
191 242 42
255 132 99
203 141 60
120 8 17
192 59 45
116 201 20
283 107 96
17 297 17
36 118 19
293 11 10
245 241 33
14 48 57
184 293 1
296 212 22
234 106 25
197 239 14
2 95 42
28 287 81
213 144 13
10 239 72
85 105 30
60 61 75
256 175 41
47 193 62
41 152 25
61 155 76
53 284 20
57 270 23
218 201 13
15 283 21
261 293 12
50 35 81
273 279 11
227 281 77
105 299 75
119 71 35
132 300 91
181 96 3
128 226 2
233 253 70
68 61 78
199 190 25
121 53 69
84 205 64
74 153 46
134 136 3
103 286 47
265 266 94
99 217 65
17 38 20
57 236 78
14 26 73
191 193 45
210 229 87
16 191 95
107 124 97
145 175 31
222 280 93
117 44 72
55 93 79
54 282 62
213 223 82
52 139 77
299 293 18
87 232 61
275 89 62
202 147 12
21 4 4
153 20 16
55 152 21
70 266 84
86 146 40
94 67 85
27 280 80
148 216 24
98 240 35
70 53 99
66 288 68
119 229 8
203 24 70
278 35 52
109 194 28
253 297 39
40 282 67
58 86 79
67 250 49
297 56 35
237 294 58
255 67 10
234 131 62
191 101 84
40 184 46
258 68 21
99 126 5
158 181 79
61 173 39
258 180 46
171 150 88
181 212 23
145 184 58
228 170 75
122 178 7
57 63 29
172 43 23
167 48 72
283 243 84
153 181 62
298 177 11
111 56 17
131 110 37
49 262 43
159 26 41
222 182 29
163 179 78
220 203 40
286 98 64
30 236 63
213 200 36
256 282 9
29 92 46
89 102 46
68 10 48
211 255 28
24 259 81
231 5 39
186 268 91
198 190 30
64 61 85
205 13 53
294 20 56
167 122 60
270 260 81
109 56 28
108 161 40
166 249 87
21 284 77
261 27 7
30 6 36
98 266 93
290 236 30
159 15 85
245 4 56
39 20 91
15 257 42
274 235 3
82 172 70
111 249 1
296 122 56
251 257 28
64 252 31
73 104 80
288 251 34
263 12 46
88 136 87
260 161 54
147 23 88
212 23 3
244 258 75
205 135 39
108 259 17
102 276 73
64 186 81
103 235 62
5 244 22
22 151 97
129 294 19
240 127 94
237 278 58
50 49 70
7 198 32
21 9 54
294 147 82
70 28 43
12 277 6
96 282 22
173 210 32
121 11 63
179 116 95
156 155 72
132 296 58
241 188 31
137 293 28
109 152 5
196 218 74
64 246 3
292 257 11
183 235 36
185 15 3
204 28 42
219 262 9
295 95 63
291 125 76
270 287 93
292 203 5
45 190 89
261 213 79
157 95 1
239 260 9
189 34 8
255 245 55
217 117 65
35 198 3
8 175 88
55 208 94
191 245 78
138 73 83
132 74 41
62 283 35
22 92 66
91 205 58
81 60 20
239 65 93
199 189 27
84 94 38
131 80 46
75 226 74
18 245 77
116 183 44
297 156 71
39 57 23
76 235 84
228 203 9
20 44 13
178 172 87
174 154 100
213 71 51
170 38 61
32 238 58
84 216 76
228 210 36
21 188 62
12 132 86
26 9 73
27 275 48
224 291 13
260 182 45
282 115 82
48 229 32
36 170 19
20 68 57
170 59 39
13 154 46
17 75 94
80 169 34
201 155 92
59 265 75
257 12 57
69 222 27
190 106 37
261 167 45
265 52 14
221 21 68
221 220 83
230 212 79
44 94 34
72 32 47
255 107 54
204 192 33
217 226 20
172 194 10
123 254 24
86 181 86
148 197 13
63 170 80
143 98 95
144 187 10
180 149 92
64 13 78
41 147 78
48 85 66
237 71 76
28 223 48
255 51 34
161 122 81
155 123 84
254 37 55
17 198 84
140 247 96
64 182 83
13 273 47
123 87 49
280 237 79
169 10 50
126 181 55
281 185 49
232 80 7
36 274 60
170 238 88
184 14 75
61 182 88
115 39 92
89 138 37
92 105 33
54 100 33
193 118 19
296 32 81
93 102 94
233 129 7
23 163 69
89 245 56
31 165 91
52 12 90
116 257 87
218 134 91
270 237 65
285 292 65
170 60 58
21 91 89
218 111 14
216 29 97
216 12 41
207 165 25
91 84 44
156 230 89
37 87 21
91 125 17
295 127 31
255 205 100
241 79 12
202 207 35
115 296 50
297 170 22
227 259 97
49 28 16
155 18 64
171 41 77
168 128 77
1 138 28
278 203 71
79 146 79
98 222 52
257 124 64
149 232 55
83 162 21
29 185 33
264 86 85
17 60 64
74 181 51
170 37 83
201 240 5
200 156 59
135 118 50
246 230 58
289 37 91
46 269 12
35 27 30
233 259 83
23 1 38
237 117 52
138 108 82
53 228 19
131 6 67
154 107 49
53 138 67
36 137 4
283 19 99
243 175 61
187 9 59
75 223 87
136 94 85
62 247 49
69 70 32
171 135 46
204 30 57
66 205 40
3 261 79
215 254 70
93 25 94
11 110 9
124 85 4
228 132 28
190 54 53
36 183 3
211 226 22
151 164 98
72 292 96
50 158 57
196 95 61
28 280 32
62 26 6
99 207 27
117 171 60
69 235 92
267 259 76
39 31 59
246 216 86
128 294 44
162 265 25
74 191 33
169 50 9
209 23 69
232 71 55
128 62 64
126 202 75
104 140 72
12 16 22
191 230 69
297 187 77
279 142 47
184 296 96
77 187 11
27 184 54
40 4 72
258 234 72
101 246 11
33 130 22
147 184 86
20 162 6
48 40 13
121 266 79
255 17 8
77 268 29
270 195 67
84 147 43
71 70 90
122 98 18
4 42 74
11 218 41
291 267 35
52 193 93
100 139 82
196 25 40
153 136 22
160 228 6
253 23 43
60 258 82
280 179 36
52 158 23
183 117 23
246 72 48
74 145 7
72 41 40
140 124 37
69 155 43
266 245 84
225 247 44
260 57 66
266 30 100
230 38 56
102 230 12
63 44 32
225 46 6
132 169 69
151 99 47
207 187 28
52 279 5
142 153 85
52 125 65
144 41 11
245 127 11
299 85 45
194 262 64
152 200 51
146 267 34
99 7 57
31 201 18
207 216 44
149 275 90
48 132 22
33 6 17
32 271 99
108 247 39
265 124 73
235 286 69
200 146 90
164 258 82
156 113 68
112 87 92
166 171 72
276 180 88
2 194 88
281 34 5
280 145 20
137 10 16
64 140 75
213 205 26
45 227 72
209 174 29
259 28 30
81 125 40
206 205 69
247 252 6
4 187 42
163 204 61
200 111 50
134 273 67
247 46 42
153 147 5
272 36 47
177 171 45
292 162 41
52 70 58
193 154 49
98 160 90
257 222 90
238 113 62
178 132 72
54 208 35
144 64 79
45 164 90
106 51 74
206 230 89
247 54 60
89 97 97
94 31 89
285 259 65
118 181 78
1 265 45
280 10 43
228 246 37
108 18 87
260 107 52
218 215 1
256 134 96
159 266 15
147 266 87
237 249 93
64 44 98
71 234 6
266 102 66
195 266 57
102 126 5
55 292 5
67 298 97
298 113 17
55 136 58
153 172 66
157 148 39
227 129 48
246 174 80
189 239 12
148 40 1
269 118 71
251 197 75
185 170 84
296 253 33
193 220 22
131 45 48
166 251 51
276 96 42
140 260 77
195 238 23
189 233 91
269 157 1
181 109 44
200 257 6
255 260 78
227 28 5
210 293 22
224 23 100
222 101 13
173 10 75
268 176 62
181 249 62
181 58 51
298 82 1
146 74 19
180 238 82
40 55 27
238 92 29
96 34 82
8 293 64
134 27 85
171 157 92
17 43 60
180 110 7
193 15 30
64 214 34
35 296 49
42 210 34
281 97 84
104 5 43
267 293 6
93 3 98
11 203 78
214 142 89
253 184 56
218 197 21
74 216 85
7 47 7
246 79 72
279 70 43
11 41 55
246 223 81
82 107 65
201 102 9
279 270 47
245 161 7
88 139 50
263 292 5
36 172 84
297 69 36
182 127 92
214 146 21
8 298 96
18 283 70
81 162 41
254 138 23
122 252 31
194 217 26
242 271 72
86 81 91
209 198 16
285 103 37
285 157 73
50 108 70
169 40 42
5 206 45
91 256 28
214 103 14
22 79 56
113 86 91
31 17 2
122 22 32
278 129 79
231 45 63
217 130 14
52 239 58
5 282 10
84 27 14
278 134 25
234 30 1
280 187 85
109 240 86
270 225 31
42 163 82
28 86 68
14 94 98
161 141 38
278 160 70
241 174 52
252 109 39
40 231 40
167 197 23
230 16 64
163 190 42
299 254 15
112 120 4
49 133 87
270 129 99
217 109 28
136 39 94
240 291 53
287 175 47
23 11 54
12 184 51
35 185 98
93 52 74
220 74 89
109 190 21
162 185 33
276 249 50
5 192 65
299 35 43
203 177 80
161 135 90
186 168 78
188 276 72
16 161 62
111 252 66
146 168 89
153 17 55
273 217 96
199 263 37
15 87 30
104 275 29
113 94 70
89 201 11
215 76 30
73 41 79
48 143 9
169 85 90
173 75 30
300 62 58
199 277 24
166 163 71
102 48 20
299 289 57
96 29 74
58 193 55
102 291 73
91 274 67
275 249 36
232 248 5
15 157 18
128 230 69
166 114 81
93 250 33
7 48 72
144 29 8
137 121 2
122 299 28
42 44 80
280 143 69
121 185 82
82 202 50
214 67 84
208 270 58
248 164 13
300 164 49
263 26 73
186 230 4
240 275 33
130 26 89
19 177 73
11 187 28
179 29 22
121 272 3
205 190 76
45 144 94
193 83 42
272 124 27
201 137 82
24 66 34
157 72 57
286 145 92
178 105 75
40 95 88
234 70 98
300 59 7
11 58 89
168 236 39
46 296 64
277 106 24
48 26 23
142 87 10
115 247 88
84 53 30
29 82 33
219 247 79
35 62 82
144 88 48
47 71 49
82 267 15
125 124 42
46 159 76
91 120 40
101 116 80
299 171 44
35 33 28
69 225 83
104 295 84
34 215 71
107 151 99
155 260 92
115 244 26
260 26 58
54 242 35
111 45 95
135 185 3
290 42 43
131 280 99
56 100 80
70 32 29
13 201 75
53 111 55
7 186 48
110 66 30
296 109 92
164 140 60
226 183 84
140 193 68
227 106 15
200 89 76
179 292 6
126 221 90
16 49 35
240 229 3
110 299 8
22 20 22
6 281 79
167 27 45
234 146 41
35 162 65
215 91 38
83 96 23
1 190 99
284 192 76
270 22 28
46 267 60
187 209 10
296 74 83
73 29 83
259 220 74
46 76 40
199 150 19
211 199 4
238 87 67
57 58 7
282 153 5
161 229 100
127 23 47
200 209 5
181 199 86
67 218 27
115 289 77
2 172 80
123 226 78
13 243 26
44 152 10
